,name,Age,Overall rating,Potential,Team & Contract,ID,Height,Weight,foot,Best overall,Best position,Growth,Joined,Loan date end,Value,Wage,Release clause,Total attacking,Crossing,Finishing,Heading accuracy,Short passing,Volleys,Total skill,Dribbling,Curve,FK Accuracy,Long passing,Ball control,Total movement,Acceleration,Sprint speed,Agility,Reactions,Balance,Total power,Shot power,Jumping,Stamina,Strength,Long shots,Total mentality,Aggression,Interceptions,Att. Position,Vision,Penalties,Composure,Total defending,Defensive awareness,Standing tackle,Sliding tackle,Total goalkeeping,GK Diving,GK Handling,GK Kicking,GK Positioning,GK Reflexes,Total stats,Base stats,Weak foot,Skill moves,Attacking work rate,Defensive work rate,International reputation,Body type,Real face,Pace / Diving,Shooting / Handling,Passing / Kicking,Dribbling / Reflexes,Defending / Pace,Physical / Positioning,Traits,PlayStyles,PlayStyles +,Number of playstyles,
1411,F. Armani GK,36,78,78,"River Plate
2018 ~ 2024",214584,"189cm / 6'2""",88kg / 194lbs,Right,78,GK,0,"Jan 12, 2018",N/A,€1.6M,€11K,€2.2M,101,18,11,19,35,18,123,21+5,15,16,29,42+5,244,44,50,36,75,39,259,51,74,35,82,17,155,43,21,17,54,20,53,47,15,13,19,381,75,77,68,79,82,1310,427,3,1,Medium,Medium,1,Stocky (185+),No,75,77,68,82,46,79,,,,0,
1412,D. Zapata ST,32,81,81,"Torino
Jun 30, 2024 On loan",215333,"188cm / 6'2""",92kg / 203lbs,Right,81,ST,0,"Jan 17, 2020","Jun 30, 2024",€21M,€65K,€0,363,47,83,80,74,79,334,79,55,62,57,81,354,76,75,67,78,58,419,86,94,75,95,69,317,72,20,84,66,75,82,90,44,24,22,40,9,9,8,6,8,1917,415,4,3,High,Medium,2,Stocky (185+),Yes,75,80,63,77,35,85,,Power Shot Power Header,,2,
1413,L. Alario ST,30,74,74,"Eintracht Frankfurt
2022 ~ 2025",215353,"185cm / 6'1""",78kg / 172lbs,Right,74,ST,0,"Jul 1, 2022",N/A,€4.1M,€33K,€7M,352,48,78,81,69,76,280,69,49,44,47,71,344,66,66,68,72,72,375,78,86,68,77,66,310,71,22,77,65,75,73,69,22,27,20,60,8,15,7,15,15,1790,372,3,3,High,Medium,2,Normal (185+),Yes,66,75,58,70,29,74,,Power Header,,1,
1414,R. Skov RWB LWB RM,27,74,75,"TSG Hoffenheim
2019 ~ 2024",215449,"185cm / 6'1""",81kg / 179lbs,Left,76,LM,1,"Jul 27, 2019",N/A,€4.4M,€26K,€7.8M,357,85,72,52,75,73,395,75,87,86,72,75,371,77,71,75,75,73,376,87,70,69,68,82,356,72,65,71,70,78,71,205,69,69,67,70,15,16,15,13,11,2130,438,3,3,Medium,Medium,1,Normal (185+),No,74,77,77,75,66,69,,Power Shot Whipped Cross,,2,
1415,Kenedy LM RM ST,27,75,75,"Real Valladolid
2022 ~ 2027",215639,"180cm / 5'11""",85kg / 187lbs,Left,75,LM,0,"Sep 1, 2022",N/A,€6M,€12K,€9.6M,338,76,69,65,72,56,369,79,77,70,67,76,369,77,73,77,71,71,351,78,75,66,63,69,329,51,60,76,74,68,76,173,60,59,54,64,11,15,11,15,12,1993,417,2,4,High,High,1,Stocky (170-185),Yes,75,70,73,77,60,62,,Technical Flair,,2,
1416,K. Tete RB,27,76,76,"Fulham
2020 ~ 2024",216266,"180cm / 5'11""",71kg / 157lbs,Right,76,RB,0,"Sep 10, 2020",N/A,€7M,€60K,€13.3M,300,77,42,73,72,36,308,68,61,41,68,70,355,74,75,72,68,66,339,64,83,76,75,41,315,77,73,61,58,46,66,229,76,77,76,51,9,15,11,6,10,1897,410,2,2,Medium,Medium,1,Normal (170-185),Yes,75,47,68,69,75,76,,Intercept Long Throw,,2,
1417,Morales ST LM RM,35,78,78,"Villarreal
2022 ~ 2024",216475,"180cm / 5'11""",70kg / 154lbs,Right,79,RW,0,"Jul 1, 2022",N/A,€6M,€28K,€12.6M,381,75,83,64,77,82,373,79,79,68,69,78,394,79,78,78,80,79,376,83,77,68,69,79,348,58,58,82,74,76,79,143,44,54,45,64,14,13,13,16,8,2079,432,4,4,High,Medium,2,Lean (170-185),Yes,78,82,74,79,52,67,,Power Shot Rapid Trivela,,3,
1418,M. Thiam ST LM,30,73,73,"Kayserispor
2021 ~ 2024",217007,"185cm / 6'1""",79kg / 174lbs,Right,73,ST,0,"Aug 24, 2021",N/A,€3M,€14K,€6M,348,65,74,75,66,68,318,73,64,53,56,72,353,72,76,74,67,64,361,73,77,66,77,68,301,64,16,76,72,73,71,68,26,20,22,56,11,9,7,15,14,1805,382,3,3,Medium,Medium,1,Lean (185+),No,74,72,65,72,27,72,,Finesse Shot,,1,
1419,P. Galdames CM CDM CAM,26,69,71,"Genoa
2021 ~ 2024",219127,"175cm / 5'9""",68kg / 150lbs,Right,71,CAM,2,"Sep 2, 2021",N/A,€1.7M,€12K,€3.2M,291,56,54,55,75,51,362,69,79,69,73,72,374,76,74,80,63,81,352,74,70,81,62,65,303,67,61,58,68,49,61,178,57,64,57,51,9,6,10,14,12,1911,403,3,3,Medium,Medium,1,Normal (170-185),No,75,60,69,71,60,68,,,,0,
1420,22 P. Becker CM RM CAM,28,63,63,"Aldosivi
2020 ~ 2022",219518,"173cm / 5'8""",72kg / 159lbs,Right,66,CAM,0,"Jan 21, 2020",N/A,€475K,€3K,€713K,263,62,49,50,68,34,338,65,68,69,68,68,366,78,74,74,64,76,312,69,78,34,64,67,301,59,56,63,68,55,55,132,45,48,39,47,10,7,13,10,7,1759,371,2,3,Medium,Medium,1,Lean (170-185),No,76,57,67,67,48,56,,,,1,
1421,23 R. Battaglia CDM CM,30,74,74,"Mallorca
2022 ~ 2024",219576,"187cm / 6'2""",79kg / 174lbs,Right,74,CDM,0,"Jul 29, 2022",N/A,€3.5M,€20K,€7.4M,301,47,60,68,73,53,320,70,45,59,72,74,307,59,60,57,72,59,365,75,70,76,73,71,353,79,74,73,70,57,68,215,70,74,71,39,7,7,7,9,9,1900,406,4,3,Medium,High,1,Normal (185+),No,60,65,65,69,72,75,,,,1,
1422,Bruno Varela GK,28,73,75,"Vitória SC
2020 ~ 2024",219754,"191cm / 6'3""",88kg / 194lbs,Right,73,GK,2,"Aug 20, 2020",N/A,€2.6M,€7K,€5.7M,95,20,16,16,31,12,102,19,20,13,25,25,252,37,43,59,70,43,251,50,66,44,73,18,130,23,17,14,52,24,33,47,15,12,20,355,72,70,66,72,75,1232,394,2,1,Medium,Medium,1,Normal (185+),Yes,72,70,66,75,39,72,,,,0,
1423,David Costas CB,28,73,75,"Real Oviedo
2021 ~ 2026",219848,"181cm / 5'11""",73kg / 161lbs,Right,75,CB,2,"Jul 12, 2021",N/A,€3.1M,€9K,€5.2M,276,64,42,71,68,31,309,70,45,59,65,70,352,72,82,66,69,63,332,56,84,69,79,44,296,71,74,46,55,50,69,213,71,72,70,55,10,15,10,14,6,1833,402,4,3,Medium,Medium,1,Normal (170-185),No,78,45,63,69,72,75,,Intercept Aerial,,2,
1424,Embarba LM RM,31,76,76,"Almería
2022 ~ 2026",219953,"173cm / 5'8""",68kg / 150lbs,Right,76,LM,0,"Aug 24, 2022",N/A,€6M,€25K,€12.6M,343,76,73,57,75,62,381,78,79,78,71,75,379,77,75,77,73,77,371,83,72,75,64,77,336,74,37,75,74,76,73,127,36,48,43,50,13,6,6,14,11,1987,415,4,4,High,Low,2,Normal (170-185),Yes,76,76,75,76,43,69,,Dead Ball Whipped Cross Technical,,3,
1425,M. Kanno CM CDM,28,71,71,"Al Hilal
2017 ~ 2025",220075,"191cm / 6'3""",67kg / 148lbs,Right,71,CM,0,"Jul 6, 2017",N/A,€1.9M,€24K,€3M,333,66,66,69,76,56,347,73,56,70,76,72,343,68,81,75,63,56,374,77,76,77,75,69,333,67,66,67,67,66,65,195,67,71,57,58,10,15,9,13,11,1983,426,3,3,Medium,Medium,1,Lean (185+),No,75,68,71,71,67,74,,Power Shot Aerial,,2,
1426,23 M. Diagne ST,30,75,75,"Fatih Karagümrük
2022 ~ 2023",220131,"191cm / 6'3""",86kg / 190lbs,Right,75,ST,0,"Jul 18, 2022",N/A,€5.5M,€26K,€11M,346,56,77,83,62,68,293,63,67,48,45,70,291,65,64,52,73,37,361,82,61,62,88,68,287,55,19,79,55,79,74,75,21,25,29,45,7,10,10,10,8,1698,363,3,2,Medium,Low,1,Normal (185+),No,64,76,56,64,29,74,,,,1,
1427,Aarón GK,27,74,77,"Las Palmas
2023 ~ 2025",220383,"185cm / 6'1""",71kg / 157lbs,Right,74,GK,3,"Jul 24, 2023",N/A,€4.1M,€13K,€8.9M,105,20,15,24,27,19,115,19,25,18,31,22,242,39,34,41,72,56,224,53,59,45,51,16,118,22,24,12,39,21,42,67,30,19,18,363,72,74,71,72,74,1234,400,3,1,Medium,Medium,1,Lean (185+),No,72,74,71,74,37,72,,,,0,
1428,M. Dúbravka GK,34,78,78,"Newcastle United
2018 ~ 2025",220407,"190cm / 6'3""",80kg / 176lbs,Right,78,GK,0,"Jul 1, 2018",N/A,€2.4M,€69K,€4.6M,93,12,10,12,48,11,139,19,15,13,59,33,271,48,44,47,72,60,238,59,64,38,60,17,143,28,25,12,58,20,59,48,19,15,14,389,78,76,79,76,80,1321,435,2,1,Medium,Medium,2,Normal (185+),Yes,78,76,79,80,46,76,,Far Throw Cross Claimer,,2,
1429,S. Benrahma LM CAM,27,78,78,"West Ham United
2021 ~ 2026",220621,"172cm / 5'8""",67kg / 148lbs,Right,78,LM,0,"Jan 29, 2021",N/A,€15M,€66K,€28.5M,334,74,72,47,77,64,374,83,73,69,68,81,391,78,70,85,75,83,345,85,61,70,53,76,321,52,40,76,78,75,74,116,45,35,36,53,16,7,8,11,11,1934,403,4,4,High,Medium,2,Normal (170-185),Yes,74,75,75,82,40,57,,Finesse Shot Power Shot Technical Flair Trivela,,5,
1430,J. Brownhill CM CAM CDM,27,75,76,"Burnley
2020 ~ 2024",220659,"180cm / 5'11""",69kg / 152lbs,Right,77,CDM,1,"Jan 30, 2020",N/A,€6.5M,€42K,€13.5M,344,69,70,67,74,64,364,74,71,70,73,76,359,72,66,70,78,73,384,76,77,89,71,71,351,78,82,72,73,46,74,218,72,77,69,47,8,11,12,7,9,2067,437,3,3,Medium,High,1,Normal (170-185),Yes,69,70,72,74,75,77,,Long Throw,,1,
1431,M. Ilaimaharitra CDM CM,27,72,73,"Sporting Charleroi
2017 ~ 2024",220782,"177cm / 5'10""",80kg / 176lbs,Right,72,CDM,1,"Jul 17, 2017",N/A,€2.4M,€10K,€3.8M,298,62,56,63,71,46,338,65,64,70,69,70,332,64,60,67,70,71,369,73,73,84,73,66,327,81,72,48,58,68,68,210,72,70,68,56,9,15,14,10,8,1930,403,3,3,Medium,High,1,Normal (170-185),No,62,61,66,67,70,77,,Slide Tackle,,1,
1432,L. Hernández LB CB,27,84,85,"Paris Saint Germain
2023 ~ 2028",220814,"184cm / 6'0""",79kg / 174lbs,Left,84,LB,1,"Jul 9, 2023",N/A,€44.5M,€105K,€85.7M,337,78,53,82,78,46,306,65,59,39,66,77,375,74,78,69,85,69,347,62,87,69,78,51,352,90,83,66,71,42,80,254,85,85,84,49,10,7,8,14,10,2020,436,2,2,Medium,High,3,Unique,Yes,76,54,72,71,84,79,,Slide Tackle Bruiser,,2,
1433,Pau López GK,28,80,82,"Olympique de Marseille
2022 ~ 2026",221087,"189cm / 6'2""",77kg / 170lbs,Left,80,GK,2,"Feb 16, 2022",N/A,€18M,€37K,€35.6M,138,24,19,15,63,17,161,18,23,21,55,44,268,45,52,40,74,57,231,59-3,60,42,52,18,169,39,16,20,69,25,62,50,19,20,11,398,79,79,79-3,80,81,1415,446,3,1,Medium,Medium,2,Lean (185+),Yes,79,79,79,81,48,80,,Rush Out,,1,
1434,M. Oršić LM RM CM,30,74,74,"Trabzonspor
2023 ~ 2025",221174,"179cm / 5'10""",69kg / 152lbs,Right,75,LM,0,"Jul 1, 2023",N/A,€4.1M,€39K,€8.2M,361,78,80,57,70,76,375,72,86,80,64,73,393,75,81,83,74,80,359,80,69,65,61,84,334,47,59,78,69,81,74,174,59,59,56,56,8,13,6,15,14,2052,424,4,3,Medium,Medium,2,Lean (170-185),No,78,81,72,74,59,60,,Finesse Shot Power Shot Dead Ball Rapid,,4,
1435,B. Embolo ST,26,78,80,"Monaco
2022 ~ 2026",222357,"187cm / 6'2""",88kg / 194lbs,Right,80,ST,2,"Jul 15, 2022",N/A,€17.5M,€54K,€34.6M,366,63,77,73,76,77,347,76,68,58,70,75,369,75,83,67,77,67,402,84,87,74,86,71,343,79,44,82,72,66,74,141,40,63,38,45,13,6,7,7,12,2013,433,4,3,High,Medium,2,Stocky (185+),Yes,79,77,70,74,51,82,,Rapid Flair,,2,
1436,E. Ünal ST,26,82,84,"Getafe
2020 ~ 2025",223197,"187cm / 6'2""",78kg / 172lbs,Right,84,ST,2,"Aug 12, 2020",N/A,€38M,€44K,€82.7M,388,60,87,81,78,82,379,83,74,78,62,82,379,73,72,81,80,73,415,83,89,78,83,82,338,75,29,80,70,84,76,111,34,43,34,56,8,14,8,13,13,2066,428,4,3,High,Medium,2,Lean (185+),Yes,72,84,70,82,40,80,,Power Shot Dead Ball Aerial,,3,
1437,S. Becker ST RM,28,77,77,"FC Union Berlin
2019 ~ 2025",223790,"180cm / 5'11""",77kg / 170lbs,Right,78,RW,0,"Jul 1, 2019",N/A,€11M,€39K,€18.7M,359,72,75,65,74,73,342,79,66,50,69,78,425,93,95,78,79,80,380,79,84,73,73,71,304,52,45,75,66,66,73,86,21,32,33,64,6,14,15,16,13,1960,420,2,3,Medium,Low,2,Normal (170-185),No,94,74,70,78,35,69,,Rapid Quick Step,,2,
1438,S. Lovrič CM CDM,25,75,79,"Udinese
2022 ~ 2027",223866,"180cm / 5'11""",75kg / 165lbs,Right,77,CM,4,"Jul 1, 2022",N/A,€8M,€16K,€15M,312,66,66,55,78,47,355,72,68,65,74,76,319,60,55,63,76,65,339,64,65,78,68,64,340,70,72,72,78,48,70,208,68,72,68,53,11,10,12,13,7,1926,407,3,3,High,Medium,1,Normal (170-185),Yes,57,64,74,72,69,71,,Long Ball Pass,,1,
1439,Borja Iglesias ST,30,83,83,"Real Betis
2019 ~ 2026",224179,"187cm / 6'2""",86kg / 190lbs,Right,83,ST,0,"Aug 14, 2019",N/A,€35.5M,€41K,€74.6M,367,50,86,82,76,73,337,76,51,65,63,82,341,65,72,57,80,67,413,85,89,70,92,77,353,70,32,86,73,92,82,103,40,36,27,71,14,12,16,13,16,1985,417,3,3,High,Medium,2,Lean (185+),Yes,69,84,66,76,40,82,,Finesse Shot Trivela,,2,
1440,23 G. Buffon GK,44,77,77,"Parma
2021 ~ 2024",1179,"192cm / 6'4""",92kg / 203lbs,Right,77,GK,0,"Jul 1, 2021",N/A,€1.2M,€3K,€1.9M,95,13,15,13,37,17,122,26,20,13,35,28,233,33,27,50,74,49,233,52,69,34,65,13,150,38,28,12,50,22,70,35,13,11,11,376,73,73,69,86,75,1244,407,2,1,Medium,Medium,4,Normal (185+),Yes,73,73,69,75,31,86,,,,3,
1441,17 F. Totti CF ST,39,80,80,"Roma
1993 ~ 2017",1238,"180cm / 5'11""",82kg / 181lbs,Right,82,CAM,0,"Jan 1, 1993",N/A,€1.5M,€60K,€0,386,83,81,42,90,90,423,82,75,90,85,91,275,43,34,59,79,60,337,88,34,54,75,86,350,69,24,80,91,86,85,48,14,24,10,53,5,12,14,11,11,1872,378,5,3,Medium,Medium,3,Normal (170-185),Yes,38,84,87,81,21,67,Team player Chip shot (AI),,,4,
1442,21 W. Rooney CM CDM CAM,34,76,76,"Derby County
2020 ~ 2021",54050,"176cm / 5'9""",83kg / 183lbs,Right,77,CAM,0,"Jan 1, 2020",N/A,€3.5M,€29K,€6.7M,389,73,79,74,80,83,400,72,82,81,83,82,321,53,52,61,78,77,372,84,71,59,78,80,372,81,52,78,80,81,88,152,57,55,40,49,10,11,13,8,7,2055,414,3,3,Medium,Medium,4,Stocky (170-185),Yes,52,80,79,74,55,74,,,,6,
1443,22 Dani Alves RB CM RM,38,77,77,"FC Barcelona
2022 ~ 2022",146530,"172cm / 5'8""",70kg / 154lbs,Right,77,RB,0,"Jan 1, 2022",N/A,€2.3M,€71K,€4.7M,348,80,63,59,79,67,390,77,83,73,77,80,371,72,68,79,74,78,351,82,70,69,53,77,377,80,74,75,78,70,82,216,71,72,73,38,5,11,9,6,7,2091,432,3,4,High,Medium,4,Normal (170-185),Yes,70,71,79,78,71,63,,,,4,
1444,Dante CB,39,79,79,"Nice
2016 ~ 2024",158625,"189cm / 6'2""",91kg / 201lbs,Left,79,CB,0,"Aug 23, 2016",N/A,€3.1M,€29K,€5.9M,310,58,47,78,79,48,321,61,51,55,77,77,242,32,32,41,78,59,343,62,75,67,86,53,327,76,83,43,65,60,80,240,85,79,76,51,14,8,10,6,13,1834,379,4,3,Low,High,3,Normal (185+),Yes,32,52,69,66,81,79,,Block Anticipate Bruiser Aerial,,4,
1445,23 B. Gomis ST,36,75,75,"Galatasaray
2022 ~ 2023",159145,"184cm / 6'0""",86kg / 190lbs,Right,75,ST,0,"Feb 2, 2022",N/A,€1.9M,€44K,€3.6M,378,64,82,80,72,80,321,68,61,62,54,76,218,38,40,33,72,35,366,84,76,44,90,72,322,52,38,82,73,77,81,89,22,32,35,56,14,11,9,9,13,1750,357,4,3,Medium,Medium,3,Normal (170-185),Yes,39,80,67,66,35,70,,,,2,
1446,João Moutinho CM CAM,36,75,75,"Sporting Braga
2023 ~ 2024",162347,"170cm / 5'7""",61kg / 134lbs,Right,75,CM,0,"Aug 25, 2023",N/A,€1.8M,€11K,€3.6M,351,73,66,62,80,70,385,75,78,74,79,79,303,50,33,70,69,81,332,75,60,72,55,70,355,70,70,65,80,70,87,199,68,66,65,69,13,15,15,13,13,1994,394,4,3,Medium,Medium,3,Normal (170-),Yes,41,69,78,76,67,63,,Long Ball Pass Trivela,,2,
1447,K. Schmeichel GK,36,81,81,"Anderlecht
2023 ~ 2024",163587,"189cm / 6'2""",88kg / 194lbs,Right,81,GK,0,"Sep 5, 2023",N/A,€2.9M,€17K,€4.4M,101,18,12,16,40,15,129,12,13,15,49,40,279,42,49,60,81,47,235,59,65,34,63,14,153,35,20,13,59,26,65,41,14,14,13,394,78,77,79,80,80,1332,439,3,1,Medium,Medium,3,Stocky (185+),Yes,78,77,79,80,45,80,,Footwork,,1,
1448,Falcao ST,37,74,74,"Rayo Vallecano
2021 ~ 2024",167397,"177cm / 5'10""",72kg / 159lbs,Right,74,ST,0,"Sep 4, 2021",N/A,€1.4M,€15K,€2.9M,369,55,78,83,76,77,353,68,78,70,60,77,322,54,42,70,78,78,344,75,77,53,66,73,336,70,41,81,63,81,79,93,32,42,19,43,10,13,6,9,5,1860,368,4,3,High,Medium,3,Stocky (170-185),Yes,47,77,67,72,41,64,,Finesse Shot Power Header Trivela,,3,
1449,C. Vela RW ST,34,80,80,"Los Angeles FC
2018 ~ 2023",169416,"177cm / 5'10""",77kg / 170lbs,Left,80,RW,0,"Jan 1, 2018",N/A,€10M,€13K,€15M,385,78,80,67,78,82,393,82,84,78,65,84,396,79,76,79,79,83,363,76,77,62,67,81,316,51,30,82,81,72,82,64,31,19,14,53,8,14,8,13,10,1970,407,2,4,High,Low,3,Normal (170-185),Yes,77,79,77,82,29,63,,Finesse Shot Dead Ball Pinged Pass Whipped Cross Technical Flair Trivela,,7,
1450,D. Mertens CAM,36,79-1,79-1,"Galatasaray
2022 ~ 2024",175943,"169cm / 5'7""",61kg / 134lbs,Right,79,CAM,0,"Aug 8, 2022",N/A,€5.5M,€35K,€10.5M,336,72-1,77,40,77-1,70,398,79-3,82,82,71-1,84-2,384,74-1,66-2,74,80,90,300,76-2,47-1,62,33,82,341,59,36,84,83,79,86,133,50,41,42,39,7,10,8,10,4,1931,395,4,4,Medium,High,3,Unique,Yes,70,78,77,81,43,46,,Finesse Shot Pinged Pass First Touch,,3,
1451,22 Marcelo LB,33,79,79,"Real Madrid
2007 ~ 2022",176676,"174cm / 5'9""",75kg / 165lbs,Left,80,CAM,0,"Jan 1, 2007",N/A,€9M,€125K,€18.5M,368,83,71,72,79,63,407,89,84,67,77,90,371,73,69,78,75,76,357,81,74,63,69,70,369,77,76,79,78,59,78,226,71,77,78,36,12,5,5,5,9,2134,452,4,5,High,Low,4,Unique,Yes,71,72,79,86,75,69,,,,4,
1452,Willian LM RM,34,77,77,"Fulham
2022 ~ 2024",180403,"175cm / 5'9""",77kg / 170lbs,Right,78,CAM,0,"Sep 1, 2022",N/A,€4.9M,€71K,€9.3M,318,75,75,31,78,59,397,82,83,82,71,79,379,76,68,82,75,78,332,82,56,60,56,78,335,45,55,77,79,79,84,148,43,55,50,59,14,12,13,7,13,1968,411,4,4,Medium,Low,3,Normal (170-185),Yes,72,77,77,81,49,55,,Finesse Shot Dead Ball Technical Flair,,4,
1453,E. Džeko ST,37,83,83,"Fenerbahçe
2023 ~ 2025",180930,"193cm / 6'4""",80kg / 176lbs,Right,83,ST,0,"Jul 1, 2023",N/A,€12.5M,€43K,€23.8M,401,65,87,87,79,83,354,77,65,54,75,83,317,55,62,62,83,55,396,86,79,68,86,77,345,64,50,86,78,67,87,98,54,28,16,63,9,11,13,15,15,1974,415,5,3,High,Medium,3,Lean (185+),Yes,59,84,73,77,45,77,,Finesse Shot Technical Acrobatic,,3,
1454,I. Perišić LW LWB,34,77,77,"Tottenham Hotspur
2022 ~ 2024",181458,"186cm / 6'1""",80kg / 176lbs,Right,78,RM,0,"Jul 1, 2022",N/A,€4.9M,€77K,€9.3M,398,85,74,78,80,81,390,79,79,75,77,80,357,74,68,69,77,69,393,83,84,77,71,78,371,71,71,77,76,76,83,211,73,73,65,38,6,7,10,9,6,2158,450,5,4,High,Medium,3,Lean (185+),Yes,71,77,79,78,72,73,,Dead Ball Whipped Cross Flair Trivela,,4,
1455,23 A. Modeste ST,34,75,75,"Borussia Dortmund
2022 ~ 2023",182212,"187cm / 6'2""",84kg / 185lbs,Right,75,ST,0,"Aug 8, 2022",N/A,€2.7M,€40K,€4.6M,363,62,77,84,66,74,308,64,66,56,55,67,338,64,69,66,77,62,381,77,86,67,84,67,312,75,18,79,63,77,77,89,39,31,19,46,10,11,11,6,8,1837,383,4,2,Medium,Low,2,Normal (185+),No,67,75,62,66,35,78,,,,2,
1456,M. Sissoko CM CDM,33,71,71,"Nantes
2022 ~ 2024",183394,"187cm / 6'2""",90kg / 198lbs,Right,72,CDM,0,"Jul 1, 2022",N/A,€1.2M,€15K,€2.4M,324,71,54,65,72,62,355,72,75,60,75,73,302,49,60,56,79,58,369,81,74,67,86,61,341,72,70,70,69,60,71,211,69,72,70,51,14,8,11,10,8,1953,406,3,3,Medium,Medium,2,Unique,Yes,55,62,71,70,70,78,,,,0,
1457,Yuri Berchiche LB,33,79,79,"Athletic Club
2018 ~ 2024",183512,"181cm / 5'11""",80kg / 176lbs,Left,79,LB,0,"Jul 2, 2018",N/A,€9M,€29K,€18.9M,353,77,61,73,77,65,355,72,80,55,72,76,390,81,78,75,77,79,412,82,89,83,82,76,354,85,77,62,71,59,78,223,75,75,73,53,12,13,9,8,11,2140,453,3,3,High,Medium,2,Normal (170-185),Yes,79,68,74,74,75,83,,Jockey Slide Tackle Rapid,,3,
1458,L. Bonucci CB,36,80,80,"FC Union Berlin
2023 ~ 2024",184344,"190cm / 6'3""",85kg / 187lbs,Right,80,CB,0,"Sep 1, 2023",N/A,€3.8M,€28K,€6.5M,314,44,50,82,80,58,348,69,56,60,85,78,280,41,52,55,79,53,357,74,78,59,81,65,345,79,82,38,71,75,85,242,82,82,78,13,2,2,3,2,4,1899,404,4,2,Medium,High,3,Normal (185+),Yes,47,59,70,71,82,75,,Power Header Incisive Pass Long Ball Pass Intercept,,4,
1459,M. Darmian CB RWB RM,33,80,80,"Inter
2021 ~ 2024",184392,"183cm / 6'0""",70kg / 154lbs,Right,80,CB,0,"Jul 13, 2021",N/A,€10M,€74K,€17M,346,72,55,76,84,59,327,72,69,35,71,80,379,68,73,77,83,78,342,69,76,79,62,56,351,80,83,78,65,45,79,249,83,84,82,39,6,7,7,12,7,2033,433,5,3,Medium,Medium,2,Normal (170-185),Yes,71,59,73,76,83,71,,Jockey,,1,
1460,D. Welbeck ST,32,75,75,"Brighton & Hove Albion
2020 ~ 2024",186146,"185cm / 6'1""",73kg / 161lbs,Right,75,ST,0,"Oct 18, 2020",N/A,€4.6M,€69K,€8.7M,365,69,76,77,74,69,344,76,61,62,64,81,336,62,70,67,73,64,354,77,80,62,72,63,334,75,32,80,74,73,78,115,43,39,33,53,9,10,6,12,16,1901,398,3,3,High,High,2,Normal (185+),Yes,66,73,70,76,42,71,,,,0,
1461,F. Borini LW LM ST,32,77,77,"Sampdoria
2023 ~ 2025",186200,"180cm / 5'11""",73kg / 161lbs,Right,77,LW,0,"Jul 10, 2023",N/A,€8.5M,€6K,€13.6M,380,74,79,76,76,75,348,77,72,61,62,76,383,78,75,79,77,74,374,77,83,75,65,74,336,72,30,80,76,78,76,124,68,30,26,43,11,6,8,12,6,1988,419,3,3,High,Medium,2,Lean (170-185),Yes,76,77,73,77,46,70,,Whipped Cross,,1,
1462,V. Wanyama CDM CM,32,74,74,"CF Montréal
2023 ~ 2024",188942,"188cm / 6'2""",79kg / 174lbs,Right,75,CB,0,"Jan 5, 2023",N/A,€2.8M,€8K,€4.1M,323,59,59,72,73,60,342,74,62,57,73,76,265,34,63,39,69,60,395,79,83,82,92,59,335,89,70,55,56,65,80,211,71,72,68,59,6,14,10,13,16,1930,407,3,2,Low,Medium,2,Normal (185+),Yes,50,63,65,70,71,88,,Power Header Long Ball Pass,,2,
1463,21 Hulk RW ST,33,80,80,"Shanghai Port
2017 ~ 2023",189362,"180cm / 5'11""",85kg / 187lbs,Left,81,LW,0,"Jul 1, 2017",N/A,€13M,€20K,€20.8M,376,75,79,71,78,73,395,85,78,81,74,77,402,83,78,70,80,91,424,94,74,85,89,82,368,83,48,81,78,78,76,123,46,41,36,46,6,10,7,11,12,2134,452,3,4,High,Low,4,Stocky (170-185),Yes,80,82,77,81,46,86,,,,6,
1464,L. de Jong ST,32,80,80,"PSV
2022 ~ 2025",189805,"189cm / 6'2""",86kg / 190lbs,Right,80,ST,0,"Jul 2, 2022",N/A,€17M,€26K,€23.8M,403,67,81,93,79,83,346,69,63,69,63,82,266,34,42,52,83,55,409,83,89,79,86,72,337,66,45,87,71,68,76,159,59,53,47,53,16,10,8,8,11,1973,397,5,3,Medium,Medium,3,Normal (185+),Yes,38,79,71,72,57,80,,Power Header Aerial,,2,
1465,C. Eriksen CM CDM,31,82,82,"Manchester United
2022 ~ 2025",190460,"181cm / 5'11""",76kg / 168lbs,Right,82,CM,0,"Jul 15, 2022",N/A,€25M,€135K,€47.5M,376,85,71,50,90,80,431,76,89,87,89,90,332,62,54,65,79,72,344,81,57,74,50,82,323,35,52,75,89,72,86,132,53,57,22,43,9,14,7,7,6,1981,406,5,4,Medium,Low,3,Unique,Yes,58,76,88,80,51,53,,Dead Ball Whipped Cross Flair,Pinged Pass +,4,
1466,R. Pereyra CM RM CF,32,78,78,"Udinese
2023 ~ 2024",193061,"182cm / 6'0""",77kg / 170lbs,Right,79,CAM,0,"Sep 11, 2023",N/A,€11M,€20K,€19.8M,363,76,74,60,80,73,392,82,78,74,76,82,383,79,76,76,76,76,371,74,75,78,68,76,369,71,70,77,79,72,78,207,66,72,69,24,4,5,3,4,8,2109,449,4,4,High,High,2,Lean (170-185),Yes,77,74,78,81,68,71,,Rapid,,1,
